code,name,group,var0,var1,var2,var3,var4,var5,value
E06000010,"Kingston upon Hull, City of",grp0,4.2,3.3,4.2,3.3,4.2,4.3,90.42864406
E07000117,Burnley,grp4,4.2,3.5,4,3.5,4.2,4.5,71.40989789
E07000120,Hyndburn,grp0,4.2,3.3,4,3.3,4.2,4.3,77.23372564
E07000122,Pendle,grp1,4.2,2.7,3.9,2.7,4.2,4.2,25.93662126
E06000021,Stoke-on-Trent,grp1,4.2,3.7,4.3,3.7,4.2,4,10.7848918
E06000009,Blackpool,grp5,4.3,3.2,4.2,3.2,4.3,4.2,14.40647869
E06000008,Blackburn with Darwen,grp4,4.3,3.9,4.4,3.9,4.3,4.5,33.76556334
E07000027,Barrow-in-Furness,grp6,4.3,3.2,4.2,3.2,4.3,4.5,9.907448697
E06000047,County Durham,grp4,4.3,3,4,3,4.3,4,58.20592657
E07000033,Bolsover,grp2,4.3,3.3,4.3,3.3,4.3,5,81.90761067
E06000018,Nottingham,grp4,4.3,3.6,4.3,3.6,4.3,4.3,15.81185511
E08000011,Knowsley,grp1,4.4,3.4,4.5,3.4,4.4,4.3,5.893308986
E08000016,Barnsley,grp3,4.4,3.3,4,3.3,4.4,3.7,36.04279332
E07000174,Mansfield,grp2,4.4,3.5,4.4,3.5,4.4,3.8,37.96257062
E08000024,Sunderland,grp2,4.4,3.9,4.3,3.9,4.4,3.9,65.31963842
E08000001,Bolton,grp1,4.5,3.7,4.3,3.7,4.5,4.4,57.80456452
E07000029,Copeland,grp5,4.5,3.9,4.6,3.9,4.5,4.5,50.25052033
E08000004,Oldham,grp2,4.5,4,4.7,4,4.5,4.5,45.15827357
E08000012,Liverpool,grp1,4.5,4.2,4.4,4.2,4.5,4.4,14.94905036
E08000008,Tameside,grp4,4.5,3.7,4,3.7,4.5,4.5,59.13134409
E08000028,Sandwell,grp4,4.5,3.8,4.7,3.8,4.5,4.1,33.07180744
E08000017,Doncaster,grp4,4.5,3.8,4.6,3.8,4.5,4.5,1.509570937
E08000010,Wigan,grp0,4.6,4.5,4.5,4.5,4.6,4.7,51.47796851
E06000012,North East Lincolnshire,grp1,4.6,4,4.5,4,4.6,4.9,41.35595625
E06000002,Middlesbrough,grp6,4.6,4,4.6,4,4.6,4.2,86.04109611
E08000006,Salford,grp3,4.6,3.6,4.3,3.6,4.6,4.3,5.360306183
E07000125,Rossendale,grp3,4.6,3.8,4.8,3.8,4.6,4.6,51.44956867
E08000032,Bradford,grp1,4.7,4.6,4.7,4.6,4.7,4.9,2.665552429
E08000013,St. Helens,grp2,4.7,4.4,4.7,4.4,4.7,4.2,13.4465311
